id,isbn13,isbn10,title,language,binding,release_date,edition,pages,dimensions,rating,publisher,author,copies
201,9780674027633,674027639,American Protest Literature,English,Paperback,2008-04-01,1st Edition,576,5.90 (w) x 9.10 (h) x 1.20 (d),4.2,Harvard University Press,"Zoe Trodd (Editor), Howard Zinn (Afterword), John Stauffer",2
202,9780385491181,385491182,The Vietnam Reader: The Definitive Collection of American Fiction and Nonfiction on the War,English,Paperback,1998-10-01,,736,5.15 (w) x 8.01 (h) x 1.58 (d),2.7,Knopf Doubleday Publishing Group,Stewart O'Nan,12
203,9780393318289,393318281,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,English,Paperback,1998-09-01,,,,3.7,"Norton, W. W. & Company, Inc.","Gloria Bird (Editor), Joy Harjo",8
204,9780393927436,393927431,The Norton Anthology of American Literature: Volume E: 1945 to the Present,English,Paperback,2007-04-01,7th Edition,1184,6.00 (w) x 9.20 (h) x 1.40 (d),1.7,"Norton, W. W. & Company, Inc.","Jerome Klinkowitz (Editor), Mary Loeffelholz (Editor), Arnold Krupat (Editor), Philip F. Gura (Editor), Bruce Michelson",12
205,9780321088994,321088999,"Living Literature: An Introduction to Fiction, Poetry, Drama",English,Paperback,2007-01-01,1st Edition,2144,6.22 (w) x 9.06 (h) x 1.82 (d),3.7,Longman,John Brereton,20
206,9781573241380,1573241385,"Women of the Beat Generation: The Writers, Artists and Muses at the Heart of a Revolution",English,Paperback,1998-10-01,2,366,6.90 (w) x 7.90 (h) x 1.20 (d),4.1,Red Wheel/Weiser,"Brenda Knight (Editor), Ann Charters (Afterword), Anne Waldman",18
207,9781558853997,1558853995,La Llorona on the Longfellow Bridge: Poetry Y Otras Movidas,English,Paperback,2003-01-01,,128,5.50 (w) x 8.30 (h) x 0.40 (d),4.4,Arte Publico Press,Alicia Gaspar De Alba,7
208,9780963290618,963290614,"To the Shore Once More: A Portrait Of The Jersey Shore; Prose, Poetry, and Works of Art",English,Hardcover,1999-07-01,,,,4.3,Jersey Shore Publications,"Frank Finale, Finale Fran",20
209,9780813533308,813533309,Witnessing Lynching: American Writers Respond,English,Paperback,2003-10-01,New Edition,360,7.00 (w) x 9.90 (h) x 0.80 (d),4.2,Rutgers University Press,"Anne P. Rice (Editor), Michele Wallace",5
210,9780321010063,032101006X,Longman Anthology of Women's Literature,English,Paperback,2000-12-01,1st Edition,1520,6.30 (w) x 9.00 (h) x 1.50 (d),3.0,Longman,"Mary K. DeShazer, Deshazer",9
211,9780981519425,981519423,Elements of Evolutionary Genetics,English,Hardcover,2010-01-01,,768,7.30 (w) x 10.20 (h) x 1.80 (d),4.2,Roberts & Company Publishers,"Brian Charlesworth, Deborah Charlesworth",10
212,9780395926888,395926882,The Best American Short Stories 2001,English,Paperback,2001-10-01,~,402,5.50 (w) x 8.50 (h) x 0.89 (d),3.0,Houghton Mifflin Harcourt,"Barbara Kingsolver, Katrina Kenison",19
213,9780231112598,231112599,The Classic Hundred Poems: All-Time Favorites,English,Paperback,1998-03-01,Second Edition,288,6.31 (w) x 9.01 (h) x 0.82 (d),2.4,Columbia University Press,"William Harmon (Editor), William Harmon",9
214,9780618902811,618902813,The Best American Nonrequired Reading 2007,English,Paperback,2007-10-01,,386,0.86 (w) x 5.50 (h) x 8.50 (d),3.2,Houghton Mifflin Harcourt,"Dave Eggers (Editor), Sufjan Stevens",17
